Hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1,101.56,94.96,83.64,70.47,99.20,108.33,68.07,54.73,46.31,113.62,85.19,103.91,67.10,100.61,110.42,3.99,18.37,120.90,204.12,107.45
2,95.02,87.84,81.66,61.01,94.27,103.01,66.94,53.87,16.55,103.91,78.29,98.98,63.75,99.98,107.26,5.06,8.59,116.46,101.46,102.55
3,92.91,89.08,78.70,62.73,92.42,102.87,66.81,53.33,7.47,96.54,68.78,96.59,64.36,99.90,101.88,3.97,7.39,112.79,97.67,101.34
4,93.50,89.91,79.97,68.29,92.15,103.60,67.97,51.93,4.34,96.22,64.87,95.81,65.95,96.38,98.91,5.00,6.59,105.86,98.58,102.15
5,91.43,91.64,82.80,69.96,90.37,100.30,68.91,52.34,4.01,96.50,53.59,92.13,70.01,98.01,101.95,6.58,8.32,109.16,101.74,106.74
6,100.72,105.74,93.24,77.44,89.30,105.37,82.18,53.57,3.01,92.74,59.81,100.53,91.38,99.92,119.81,7.54,9.46,127.24,110.71,122.73
7,129.47,142.98,124.25,76.54,92.48,152.68,113.05,121.67,3.49,96.73,85.26,120.42,119.53,134.09,141.56,4.68,10.53,155.50,153.27,158.29
8,179.99,180.63,182.83,69.60,98.60,180.16,151.11,143.63,3.31,98.44,84.10,140.01,137.75,142.17,164.37,3.97,9.05,149.26,140.98,147.93
9,159.38,136.82,144.61,43.04,90.26,139.41,124.71,174.34,3.65,91.86,64.69,123.50,134.08,133.44,161.97,3.91,3.24,110.79,99.91,108.19
10,108.47,91.31,107.06,3.80,4.68,95.68,81.92,133.23,3.90,76.14,34.98,89.92,109.35,106.44,135.46,2.30,0.00,70.57,76.08,73.39
11,86.17,76.45,60.87,0.15,0.43,58.24,48.20,110.32,3.59,65.67,20.46,70.79,97.32,92.03,111.22,2.26,0.00,44.33,38.90,28.86
12,68.74,48.15,50.74,0.00,0.00,14.55,0.18,99.08,3.80,65.34,1.68,44.11,94.87,78.78,107.42,0.36,0.00,9.04,6.70,3.96
13,42.94,32.46,40.06,0.00,0.00,0.02,0.00,83.57,1.64,65.33,0.00,26.11,91.19,68.44,100.79,0.45,0.00,5.77,3.13,0.00
14,23.17,16.83,17.09,0.00,0.00,0.00,0.00,74.12,4.64,2.06,0.00,6.67,83.26,68.27,100.92,0.02,0.00,4.84,3.41,0.00
15,10.99,31.88,36.81,0.00,0.00,0.00,0.00,73.60,3.98,3.94,14.48,32.00,88.91,77.44,106.62,1.99,0.00,5.77,30.98,27.42
16,34.58,54.10,49.27,0.00,0.00,1.61,0.00,69.56,4.05,25.27,70.06,67.10,91.18,88.84,115.91,3.06,0.00,21.20,62.63,40.28
17,57.33,73.29,52.97,2.49,0.00,33.22,0.00,76.26,7.29,56.37,104.14,87.07,100.29,101.56,131.02,13.06,1.21,32.86,120.26,109.80
18,82.80,90.35,100.08,14.48,3.95,70.50,35.81,100.88,14.79,100.10,132.00,116.05,135.26,128.28,154.24,32.68,24.52,90.70,154.93,147.64
19,122.38,118.27,127.60,70.50,53.68,111.03,67.96,131.64,28.96,146.91,165.99,125.63,162.12,137.32,212.11,33.11,26.85,105.53,279.34,248.27
20,155.73,180.41,168.45,126.02,98.94,132.99,124.05,184.06,45.06,152.23,165.91,140.50,169.65,121.39,193.11,38.95,28.22,75.41,251.99,220.53
21,138.01,171.31,165.05,128.11,98.91,137.92,114.00,172.82,56.09,121.07,148.03,140.69,153.38,97.05,161.92,33.17,25.38,41.78,163.48,176.90
22,110.91,140.01,138.20,119.68,84.26,111.14,96.08,135.10,48.07,97.92,124.56,99.97,129.49,87.13,138.55,33.00,23.28,40.29,136.61,138.38
23,95.65,120.48,121.02,108.20,79.00,98.10,82.64,115.30,55.60,76.65,117.94,90.40,117.51,63.97,125.55,32.83,23.23,27.10,124.83,124.58
24,79.45,105.11,105.21,97.38,68.75,91.06,71.43,102.38,53.45,43.26,110.12,81.12,106.89,56.00,115.12,32.63,22.34,18.43,117.50,111.27
